Latitude,Longitude,Platform Num,Road,Routes
172.7298089,-43.516785,26041,Union St near Mountbatten St,60
172.5312672,-43.5430845,38994,Main South Rd near Canterbury St,87|Y
172.6022288,-43.4942924,37436,Harewood Rd near Marble Wood Dr,125|28|Or
172.6949694,-43.47536567,20240,Queenspark Dr near Chadlington St,O
172.55223,-43.54014982,17847,Main South Rd,100|80|87|Y
172.6877515,-43.55175956,15744,Ferry Rd near Palinurus Rd,155|P
172.538504,-43.570202,53641,Knights Stream Park,O
172.5583879,-43.49866945,17538,Memorial Ave near Avice Hill Reserve,125|29|P
172.6232288,-43.52095452,16343,Carlton Mill Rd near Exeter St,17
172.6662,-43.3195,54512,Main North Rd near Woodend Rd,95
172.5962808,-43.55283017,44177,Lincoln Rd near Domain Tce,O
172.5173122,-43.54434336,17488,Main South Rd near Seymour St,130|Y
172.564867,-43.492634,51212,Roydvale Ave near Highwood Ln,P
172.7017036,-43.55740564,15621,Ferrymead Shops,140|155|P
172.6830987,-43.48228794,18371,Burwood Hospital - Mairehau Rd,135|O
172.6397116,-43.52467055,14302,Manchester St near Salisbury St,28|29|44|95|B
172.5158036,-43.53999757,14919,Gilberthorpes Rd near Gregory Ave,130
172.6679546,-43.54370253,23509,Ferry Rd near Manning Pl,P
172.4722344,-43.55181301,41353,Templeton,Y
172.6270937,-43.4765187,29963,Grimseys Rd near Mulberry Pl,125
172.6099849,-43.52903245,17932,Riccarton Rd near Bartlett St,130|80|86|87|P|Y
172.5699277,-43.5888377,33780,Halswell Rd near Larsens Rd,100
172.5542017,-43.51412677,10233,Withells Rd near Gainford St,125|P
172.6365173,-43.52412758,14413,Colombo St near Salisbury St,28
172.6865022,-43.51717938,18108,Wainoni Rd near Ottawa Rd,80
172.6531886,-43.39136535,43528,Williams St near Courtenay Drive,95|B
172.64695,-43.49558455,36739,Innes Rd near Hills Rd,44|Or
172.694189,-43.535332,51721,Maces Rd near Lupins Ln,155
172.6321585,-43.44521468,12034,Main North Rd near Richill St,95|B
172.6061179,-43.52701597,10953,Kilmarnock St near Harakeke St,130
172.4090924,-43.57870091,50102,Jones Rd near Weedons Ross Rd,Y
172.6020476,-43.53126671,11949,Clarence St near Peverel St,120|Or
172.7195412,-43.50983781,26485,Pages Rd near Waitaki St,Y
172.7307892,-43.51817605,26693,Union St,60
172.5333777,-43.52884533,24688,Carmen Rd near Steadman Rd,125|140
172.5886947,-43.52387618,13254,Clyde Rd near Arts Rd,100|120
172.5883664,-43.50057335,16520,Wairakei Rd near Manor Pl,17
172.6639187,-43.36971183,13811,Main North Rd near Williams St,95
172.6968,-43.314822,50932,Pegasus Blvd near Pegasus Main St,95
172.610407,-43.499904,13489,Papanui Rd near Grants Rd,95|B
172.6241556,-43.51530013,12844,Papanui Rd near Webb St,95|B
172.738228,-43.53619188,26686,Estuary Rd near Halsey St,60
172.6392915,-43.3842615,53401,Island Rd near Barnard St,B
172.553979,-43.551961,53897,Corsair Dr near Keene St,100
172.674139,-43.55238479,23827,Radley St near Sheldon St,155
172.36408,-43.610231,52839,Rolleston Terminus,Y
172.7289328,-43.50630725,53486,Hawke St near Keppel St,60
172.7166215,-43.56961219,32237,Major Hornbrook Rd near Belleview Tce,140
172.5157344,-43.54293312,14179,Parker St near Steele St,130
172.5632547,-43.57974646,14727,Oakridge St near Nicholls Rd,125|O
172.6849712,-43.51879042,18165,Wainoni Rd near Cuffs Rd,80
172.6236449,-43.55111794,29111,Selwyn St near Bletsoe Ave,60
172.5289261,-43.53700354,24931,Carmen Rd near Waterloo Rd,125|140
172.7433152,-43.54050594,26324,Rocking Horse Rd near Godwit St,60
172.72096,-43.603745,41812,Norwich Quay near Canterbury St,155|28
172.6368557,-43.54928768,23891,Colombo St near Walton St,45|B
172.420386,-43.64239092,50269,Ellesmere Junction Rd near Mather Pl,820
172.6026708,-43.5791924,33459,Penruddock Rse near Pembridge Ln,45
172.6997732,-43.30490521,54391,Pegasus,95
172.6235135,-43.47863166,29916,Daniels Rd near Mottram St,125
172.6679642,-43.53910569,37853,Aldwins Rd near Bass St,140|Or
172.6676646,-43.31782983,44469,Main North Rd near Hewitts Rd,95
172.6867155,-43.51715844,18177,Wainoni Rd near Ottawa Rd,80
172.6090279,-43.49840988,13491,Papanui Rd near Bellvue Ave,95|B
172.6312535,-43.44707929,15936,Main North Rd near Donegal St,95|B
172.426406,-43.644033,53878,Springston,87
172.5872597,-43.49844066,37709,Greers Rd near Saffron St,Or
172.5945995,-43.49081167,37462,Harewood Rd near Greers Rd,125|28|Or
172.6080633,-43.54452104,37594,Whiteleigh Ave near Jack Hinton Dr,120|Or
172.559685,-43.554525,54107,Skyhawk Rd near Kittyhawk Avenue,60
172.5991464,-43.50669912,16764,Wairakei Rd near Blighs Rd,17
172.718876,-43.603247,40750,Norwich Qy near Dublin St,155|28
172.5277469,-43.54726876,38236,Amyes Rd near Branston St,125
172.5562111,-43.49699196,17085,Memorial Ave near Stableford Green,125|29|P
172.6000959,-43.52626362,10100,Kahu Rd near Titoki St,130
172.547029,-43.53309804,24473,Racecourse Rd near O'briens Rd,130
172.6616761,-43.49549736,43954,Marshland Rd near Cotton St,135|60
172.6297287,-43.5233546,14829,Victoria St near Montreal St,29|95|B
172.665541,-43.471644,54410,Prestons School,135
172.6119187,-43.52283659,17419,Fendalton Rd near Wood Ln,29
172.6886853,-43.51497458,18183,Wainoni Rd near Avonside Dr,80
172.5675224,-43.57753276,38034,Halswell Rd,100|O
172.5269125,-43.53012189,14770,Hei Hei Rd near Buchanans Rd,130
172.6565505,-43.49888318,24193,Emmett St near Bellbrook Cres,44
172.5224722,-43.53355109,14791,Manurere St near Ranui St,130
172.6728993,-43.50761652,36794,Cresswell Ave near Gayhurst Rd,44
172.5294212,-43.53064697,42512,Buchanans Rd near Vanguard Dr,130
172.558448,-43.53387376,25401,Craven St near Algidus St,130
172.701068,-43.608713,41191,Park Tce near Cressy Tce,28
172.5813043,-43.51959475,32318,Creyke Rd near Barlow St,100|130
172.5446666,-43.53539909,14200,Buchanans Rd near Racecourse Rd,130
172.6252522,-43.53982346,14373,Moorhouse Ave near Stewart St,140
172.6210525,-43.51148955,38580,Merivale Mall,100|95|B
172.6092161,-43.55553884,33693,Cobham St near Clent Ln,120
172.6702875,-43.54458836,44385,Ferry Rd near Mackworth St,P
172.7193485,-43.50483064,39464,Keyes Rd near Rawson St,60
172.548848,-43.550359,51525,Corsair Dr near Gallaghan Cl,100
172.6217525,-43.54822732,43487,Selwyn St Shops,120|60
172.631552,-43.524406,52887,Salisbury St near Victoria St,29|95|B
172.6849573,-43.51862315,18392,Wainoni Rd near Cuffs Rd,80
172.6488191,-43.55246365,32696,Waltham Rd near Bunyan St,17
172.6365302,-43.53841926,14974,South City (Northbound),28|45|B
172.682645,-43.52033336,18430,Wainoni Rd near Pannell Ave,80
172.5662462,-43.56992306,38113,Dunbars Rd near Balkwell St,100
172.52837,-43.54329884,39003,Main South Rd near Tower St,87|Y
172.575119,-43.56698062,12719,Halswell Rd near Nash Rd,O
172.6663611,-43.3338071,12270,Main North Rd near Woodend Beach Rd,95
172.6884588,-43.49701678,39591,Bassett St near Parnwell St,60
172.7062993,-43.50398327,18448,Wainoni Rd near Bexley Rd,80
172.6851577,-43.50017793,39536,New Brighton Rd near Lake Terrace Rd,60
172.4198468,-43.64221315,50295,Ellesmere Junction Rd near Mather Pl,820
172.6325336,-43.44511882,15927,Main North Rd near Richill St,95|B
172.729186,-43.558244,,Mt Pleasant Terminus,120|125|130|140|820|P|Y
172.6912051,-43.51244022,18469,Wainoni Rd near Shortland St,80
172.588731,-43.50781369,10625,Clyde Rd near Evatt St,120
172.6530786,-43.56430006,32872,Huntsbury Ave near Ramahana Rd,17
172.6194731,-43.55977629,37616,Frankleigh St near Alvarez Pl,120|60|Or
172.694984,-43.551737,51103,Ti Rakau Dr near Delta Wy,140
172.6615029,-43.49563392,12465,Marshland Rd near Cotton St,135|60
172.570305,-43.531474,24378,Yaldhurst Rd near Angela St,140|86
172.61236,-43.51486409,16583,Rossall St near Leinster Rd,17
172.5906231,-43.55598419,12630,Halswell Rd near Tankerville Rd,O
172.6817659,-43.52712916,40231,Buckleys Rd near Kerrs Rd,155|Y
172.6136449,-43.50340463,12863,Papanui Rd near Tomes Rd,95|B
172.5854524,-43.50035569,36597,Greers Rd near Brookside Tce,Or
172.6073768,-43.56221792,33104,Hoon Hay Rd near Maryhill Ave,60
172.644838,-43.54008123,14736,Moorhouse Ave near Washington Wy,140|17
172.6615786,-43.52978599,21024,Gloucester St near England St,Y
172.6632127,-43.4937659,13296,Lake Terrace Rd near Giles Pl,60
172.5847284,-43.52109361,32122,University - Creyke Rd,100|130
172.7465609,-43.54831989,46990,Rocking Horse Rd near Plover St,60
172.5715032,-43.50665124,17322,Memorial Ave near Grahams Rd,29
172.6371523,-43.56445316,23756,Colombo St near Thorrington Rd,B
172.6812425,-43.52187985,18482,Kerrs Rd near Traynor Ln,80
172.6754563,-43.50525246,39349,New Brighton Rd near Kingsford St,O
172.3077386,-43.61702835,50207,Godley Rd,820
172.6275056,-43.52024647,12546,Bealey Ave,95|B
172.6653692,-43.53609296,18495,Harrow St near Bordesley St,80
172.729977,-43.50496239,40277,Marine Pde near Hawke St,135
172.62017,-43.540094,33250,Moorhouse Ave near Selwyn St,140|O
172.6531862,-43.56767999,32926,Huntsbury Ave near Aotea Tce,17
172.378598,-43.584042,52700,Link Dve,820
172.6026356,-43.53553098,11268,Clarence St near Lyndon St,120|Or
172.6158114,-43.51988872,10687,Rossall St near Holmwood Rd,17
172.6414981,-43.52977493,30688,Gloucester St near Latimer Square,O|Y
172.6072882,-43.51083782,16084,Strowan Rd near Lloyd St,17
172.6369268,-43.55439223,23917,Colombo St near Boon St,B
172.7125338,-43.48644732,18584,Beach Rd near Bower Ave,135|80
172.5412244,-43.51910393,24619,Bentley St near Delaware Cres,125|140
172.6612941,-43.5411696,23521,Ferry Rd near Bordesley St,140|P
172.5992538,-43.49260427,42888,Harewood Rd near Wilmot St,125|28|Or
172.5716785,-43.50702147,40427,Memorial Ave near Grahams Rd,29
172.6547562,-43.53541243,18702,Tuam St near Phillips St,80
172.5686323,-43.49866217,10752,Whitby St near Everest St,120
172.3701297,-43.51761647,54499,Preston Downs Reserve,86
172.5667027,-43.52038001,13399,Solway Ave near Glenside Ave,130
172.5734061,-43.52558565,37404,Waimairi Rd near Athol Tce,Or
172.5562962,-43.57020207,22230,Westlake Dr near Hemingford Pl,125
172.5665006,-43.49389142,10924,Teesdale St near Deepdale St,120
172.6518528,-43.53545286,18718,Tuam St near Fitzgerald Ave,80
172.630988,-43.44697344,12047,Main North Rd near Donegal St,95|B
172.6636262,-43.36394581,15825,Main North Rd near Old Main North Rd,95
172.584203,-43.50502945,10813,Clyde Rd near Hooker Ave,120
172.6615583,-43.52991013,26714,Gloucester St near England St,Y
172.6171724,-43.48855924,29531,Cranford St near Main North Rd,28|Or
